SET_NAME,YEAR,THEME,UNIQUE_PARTS,TOTAL_PARTS,UNIQUENESS
MT-101 Armored Drilling Unit,2007,Mars Mission,0,202,0.000000
Scarab Attack,2011,Pharaoh's Quest,2,32,0.062500
STORMER Freeze Machine,2014,Hero Factory,1,52,0.019231
Imperial Trading Post,1992,Pirates,4,221,0.018100
LEGO Build & Play [Blue Tub],2008,Basic Set,0,153,0.000000
Math Machines Set,2006,Educational and Dacta,29,66,0.439394
Droid Scout,1996,Exploriens,0,22,0.000000
Advent Calendar 1998 Classic Basic (Day 18) Blue Elf,1998,Classic Basic,0,7,0.000000
Scorpi,2014,Series 3,0,34,0.000000
Super Secret Police Enforcer,2014,The LEGO Movie,0,33,0.000000
King Pig’s Castle,2016,Angry Birds,6,237,0.025316
Blaster Bike,2015,Ninjago,0,101,0.000000
"Advent Calendar 2013, Star Wars (Day  2) - Dooku's Solar Sailer",2013,Star Wars,0,9,0.000000
Fire Emergency Van,1979,Fire,0,37,0.000000
Winzar's Pack Patrol,2013,Legends of Chima,0,30,0.000000
1 x 6 Sand Red Bricks,2001,Bulk Bricks,0,1,0.000000
Winter Village Cottage,2012,Christmas,1,368,0.002717
Assorted Dark Gray Plates,2004,Bulk Bricks,0,17,0.000000
Hook & Ladder,1994,Fire,0,93,0.000000
Advent Calendar 2003 Creator (Day 12) Snail,2003,Creator,0,7,0.000000
Maersk Line Container Ship 2010 Edition,2010,Sculptures,0,162,0.000000
Commuter Jet,2011,Airport,0,65,0.000000
Steam Locomotive (Push),1970,4.5V,1,20,0.050000
Prison Carriage Rescue,2010,Kingdoms,0,44,0.000000
Kingdoms Joust,2012,Kingdoms,4,322,0.012422
The Batcave: The Penguin and Mr. Freeze's Invasion,2006,Batman,3,304,0.009868
Gear Supplementary Set,1974,Gears,0,14,0.000000
Prop Plane,1988,Airport,0,85,0.000000
Dino 4WD Trapper,2005,Dino 2010,0,105,0.000000
Pneumatic Front End Loader,2001,Construction,0,134,0.000000
Cahdok and Gahdok,2002,Titans,0,101,0.000000
Small Santa Claus,1997,Christmas,0,7,0.000000
Advent Calendar 1999 (Day  5) Sailboat,1999,Advent Sub-Set,0,8,0.000000
Multi-Challenge Race Track,2003,Track System,17,154,0.110390
Sand Storm Racer,1989,Race,0,26,0.000000
21 Red 2x4 Bricks,1969,Supplemental,0,1,0.000000
Build and Play,2011,Basic Set,0,150,0.000000
Car,1971,Minitalia,0,10,0.000000
Skeleton Chopper,2011,Ninjago,0,22,0.000000
Turkey,2014,Thanksgiving,0,49,0.000000
Mandalorian Speeder,2013,Star Wars Other,7,97,0.072165
Snowman,2009,Seasonal,0,30,0.000000
"Advent Calendar 2014, Friends (Day 4) - Deer and Tree",2014,Friends,0,4,0.000000
Pohatu Nuva,2002,Toa Nuva,1,25,0.040000
Advent Calendar 2014 City (Day 6) Fruit Stall,2014,City,0,13,0.000000
Large Farm,2014,Duplo,0,66,0.000000
Advent Calendar 2007 City (Day 10) Dock Worker,2007,City,0,4,0.000000
"Advent Calendar 2013, Friends (Day 24) - Present with Letter",2013,Friends,0,6,0.000000
Fire Truck,2011,Duplo,3,18,0.166667
Large Wheels with Axles (The Building Toy),1966,Supplemental,0,4,0.000000
Automatic Right Electric Switch,1969,12V,1,5,0.200000
Atlantis Treasure,2010,Game,6,76,0.078947
Wizard's Cart,1995,Castle,0,17,0.000000
Police Patrol Squad,1984,Police,1,44,0.022727
Umarak the Destroyer,2016,Bionicle,1,57,0.017544
Farm Nursery,2010,Duplo,0,8,0.000000
Basic Building Set + Storage Case,1983,Basic Set,1,1,1.000000
"Antennas, Control Sticks",1993,Service Packs,0,17,0.000000
Myke,2016,Series 9,0,39,0.000000
LEGO Express Deluxe,2002,My Own Train,0,165,0.000000
Mountain Sleigh,2003,Orient Expedition,0,23,0.000000
Aircraft,1991,Airport,0,63,0.000000
Batman & Superman vs. Lex Luthor,2016,Super Heroes,3,111,0.027027
Glider,2006,Exo-Force,0,19,0.000000
Curved Track (Curved Rails),1993,Duplo,0,1,0.000000
Passenger Plane - ANA Version,2010,Airport,0,113,0.000000
Krader,2014,Series 1,0,34,0.000000
Super Heroes Unite - Green Lantern - San Diego Comic-Con 2011 Exclusive,2011,Justice League,0,4,0.000000
Slave I,2000,Star Wars Episode 4/5/6,0,62,0.000000
"Nesquik Promotional Set: Quicky the Bunny, Director, Cameraman and Car",2001,Studios,0,25,0.000000
Advent Calendar 1998 Classic Basic (Day  4) Boat,1998,Classic Basic,0,9,0.000000
Grumlo Promo Minifigure,2014,Legends of Chima,0,11,0.000000
Bad,2010,Power Racers,0,49,0.000000
Desert Island,1991,Pirates I,0,22,0.000000
Emma's Karate Course,2013,Friends,3,59,0.050847
Kylo Ren’s Command Shuttle™,2015,Star Wars,5,248,0.020161
"LEGO Store Grand Opening Exclusive Set, Penn Square Mall, Oklahoma City, OK",2009,LEGO Brand Store,0,29,0.000000
Tri-Bike,1998,Znap,0,13,0.000000
Buzzy Bulldog the Postman,1982,Post Office,0,7,0.000000
Flags and Fences,1988,Supplemental,0,11,0.000000
Black Seas Barracuda,1989,Pirates I,1,201,0.004975
Zoo friends,2013,Duplo,0,5,0.000000
Battle Pack Lion Knights,2010,Kingdoms,0,25,0.000000
Birthday Pack Star,2004,Clikits,5,23,0.217391
Exo-Suit Robot,2006,Exo-Force,0,15,0.000000
Yellow Submarine,2016,LEGO Ideas and CUUSOO,29,213,0.136150
Moana's Island Adventure,2016,Disney Princess,4,129,0.031008
The Batmobile,2017,Batman,8,174,0.045977
"Lashina"" Tank",2017,Super Heroes,7,91,0.076923
Arkham Asylum,2017,Batman,17,391,0.043478
U-wing,2017,Star Wars Rogue One,3,57,0.052632
LEGO My Travel Companion,2017,LEGO Exclusive,0,36,0.000000
The Mushroom Island,2017,Minecraft,3,66,0.045455
Black Widow,2017,Brickheadz,2,57,0.035088
Iconic Chess Set,2017,Game,0,100,0.000000
Y-Wing Starfighter,2017,Star Wars Rogue One,9,231,0.038961
Lance's Twin Jouster,2017,Nexo Knights,5,126,0.039683
Easter Egg Hunt -2017,2017,Easter,1,69,0.014493
Micro Mecha Horse,2016,Nexo Knights,0,16,0.000000
Chirrut Îmwe,2017,Star Wars,6,54,0.111111
LEGO Star Wars: Build Your Own Adventure,2016,Star Wars,0,42,0.000000
Captain Armando Salazar,2017,Brickheadz,2,60,0.033333
Solomon R. Guggenheim Museum&reg;,2017,Architecture,2,143,0.013986
Michael Knight and K.I.T.T. Knight Ryder Fun Pack,2017,Dimensions,1,28,0.035714
Black Panther & Dr. Strange,2016,Brickheadz,5,73,0.068493
Emma's Pool Slide,2017,Friends,0,34,0.000000
Corn Cob Guy,2017,Series 17 Minifigures,0,5,0.000000
Yuppie,2017,Series 17 Minifigures,0,8,0.000000
Technic 40 year anniversary model (42057 + 42061 + 42063),2017,Technic,0,110,0.000000
Gymnastic Bar,2017,Friends,0,25,0.000000
Rebel A-wing Pilot,2016,Star Wars Rebels,3,5,0.600000
Vulture Droid foil pack,2017,Star Wars Episode 3,0,14,0.000000
Modular Modern Home,2017,Creator,1,155,0.006452
"Two-Face"" Double Demolition",2017,Batman,6,263,0.022814
The Batwing,2017,Batman,6,309,0.019417
Veterinarian,2017,Series 17 Minifigures,0,6,0.000000
"Rathtar"" Escape",2017,Star Wars Episode 7,8,188,0.042553
Tracker I,2017,Star Wars,5,125,0.040000
"Scout Trooper"" & Speeder Bike",2017,Star Wars Episode 4/5/6,2,125,0.016000
Treasure's Day at the Pool,2016,Disney Princess,1,54,0.018519
Island Warrior - Complete set,2013,Series 11 Minifigures,4,8,0.500000
Roadblock Runners,1997,Traffic,3,105,0.028571
Bytar,2012,Ninjago,5,20,0.250000
Replacement Gearbox for Electric Motor,1985,Train,0,1,0.000000
Railroad Tractor Flatbed,1991,9V,0,94,0.000000
Batcave Break-in,2017,Batman,13,360,0.036111
Beware the Vulture,2017,Marvel,6,148,0.040541
Butterfly Girl,2017,Series 17 Minifigures,0,9,0.000000
Train Wheels and Couplers,1969,Supplemental,0,4,0.000000
I Love Paris Magnet [Male],2013,Gear,2,6,0.333333
Royal Coach,2000,Fairy-Tale,5,54,0.092593
Space Simulation Station,1999,Space Port,0,148,0.000000
Creative Ambush,2014,The LEGO Movie,6,209,0.028708
Go-Kart Racer,2015,Traffic,0,32,0.000000
Rally Racers,1996,Race,0,90,0.000000
Pilgrim's Feast,2016,Thanksgiving,0,69,0.000000
Sky Guardian,2007,Exo-Force,3,72,0.041667
1 x 1 and 1 x 2 Plates - Yellow (architectural hobby und modelbau version),1962,Architecture,0,4,0.000000
Wheel Bricks with Small Red Train Wheels,1981,Train,0,1,0.000000
Farm Bike,2010,Duplo,1,9,0.111111
Christmas Tree,2015,Christmas,0,44,0.000000
Imperial Hotel,2013,Architecture,1,112,0.008929
Lobster-Lovin’ Batman™,2017,Batman,4,7,0.571429
Friends Pencil Holder,2013,Gear,0,56,0.000000
Pneumatic Elements,1994,Technic,0,3,0.000000
Small Train Set,1966,4.5V,0,23,0.000000
Cosmic Cruiser,1982,Classic Space,1,60,0.016667
Gali - Master of Water,2015,Toa Okoto,3,44,0.068182
Hogwarts,2011,Harry Potter,11,156,0.070513
Coca-Cola Defender 4,2002,Soccer,0,4,0.000000
Advent Calendar 2006 City (Day 19) Mechanic,2006,City,0,5,0.000000
Fright Knights Flying Machine,1997,Fright Knights,0,16,0.000000
"LEGO Store Grand Opening Exclusive Set, Nuremberg (NÃ¼rnberg), Germany",2010,LEGO Brand Store,0,36,0.000000
Superman™ Fun Pack,2016,Dimensions,1,28,0.035714
Cosmic Comet,1985,Classic Space,0,25,0.000000
Police Patrol with Policemen,1975,Police,0,25,0.000000
Street Motorcycle,2015,Riding Cycle,0,93,0.000000
Swamp Police Station,2015,Police,1,278,0.003597
Front-End Loader,1970,Construction,0,49,0.000000
Boats,1961,Harbor,0,20,0.000000
Advent Calendar 2008 Castle  (Day 6) - Black Skeleton with Crossbow,2008,Castle,0,6,0.000000
Battery Box with Switch - 9v,1995,Technic,0,1,0.000000
The Snow Hideout,2015,Minecraft,0,118,0.000000
Coast Guard Kayak,2008,Coast Guard,0,17,0.000000
Warrior Woman - Complete Set,2013,Series 10 Minifigures,4,7,0.571429
The Batcave,2012,Batman,2,268,0.007463
Mrs Scratchen-Post,2014,The LEGO Movie Series,3,6,0.500000
Rail and Road Service Truck,1999,9V,0,67,0.000000
Lighting Device Pack (The Building Toy),1966,Supplemental,0,3,0.000000
Gold Getaway,2013,Castle,0,121,0.000000
Dragon Rider,2000,Knights Kingdom I,0,16,0.000000
Jawg,2014,Series 2,0,26,0.000000
Jewels-n-Clips,2003,Clikits,3,31,0.096774
Creative Building Basket,2016,Basic Set,0,257,0.000000
Power Functions Train Accessories Pack,2009,RC Train,0,1,0.000000
Coast Guard Station,1978,Coast Guard,0,65,0.000000
Getaway Racer,2016,Technic,1,51,0.019608
50th Anniversary Tub,2005,Basic Set,0,137,0.000000
Airport Fire Truck,2014,City,0,115,0.000000
Shuttle Transcon 2,1995,Launch Command,1,172,0.005814
Farm Tractor,2014,Duplo,2,20,0.100000
Easter Chick,2016,Easter,0,46,0.000000
Shave a Sheep,2010,Game,0,29,0.000000
Glamour Girl Purse,2004,Clikits,1,9,0.111111
Horse Trailer,1986,Farm,1,76,0.013158
The Mine,2012,Construction,0,335,0.000000
Creator Box,2004,Basic Set,1,212,0.004717
12V Transformer for 220V Pack,1969,12V,1,1,1.000000
Tender Basis (without color trim elements),2001,My Own Train,0,20,0.000000
Mango - Hong Kong Lego Show Promotional,2007,Food & Drink,0,6,0.000000
Trade Federation MTT,2000,Star Wars Episode 1,0,88,0.000000
Ice Blade,2004,Mission Deep Freeze,0,62,0.000000
Rahkshi,2010,Stars,1,12,0.083333
Mini Dump Truck,2000,Construction,0,17,0.000000
Flower Stand,1985,Fabuland,0,12,0.000000
Mario Götze (19),2016,DFB Minifigures,2,6,0.333333
Mobile Command Center,2017,Police,0,184,0.000000
Pontoon Plane,1999,Jungle,0,48,0.000000
Lego Mosaic Tiger,2003,Mosaic,0,11,0.000000
The Enchanted Palace,1999,Fairy-Tale,7,118,0.059322
"Lampholders, Plates with Holder",1991,Service Packs,0,6,0.000000
Snowspeeder,2015,Mini,1,50,0.020000
Zaktan,2006,Piraka,3,26,0.115385
Fun with Bricks (4293364) - with Minifigs,2006,Basic Set,0,54,0.000000
WeDo 2.0 Medium Motor,2016,WeDo,0,1,0.000000
Director,2001,Studios,0,5,0.000000
"Advent Calendar 2013, Star Wars (Day  7) - Weapons Depot",2013,Star Wars,0,10,0.000000
Micro Shinto Shrine,2015,Ninjago,0,8,0.000000
Vulture Droid,2014,Star Wars,3,76,0.039474
2 x 4 Bricks (The Building Toy),1966,Supplemental,0,6,0.000000
Mini Robot,2008,Mars Mission,0,22,0.000000
2 x 8 Bricks,1958,Supplemental,0,5,0.000000
2 x 2 Black Smooth Tiles,2000,Bulk Bricks,0,1,0.000000
Desert Attack,2010,Prince of Persia,4,49,0.081633
Santa,1989,Christmas,0,18,0.000000
Jay,2016,Ninjago,0,13,0.000000
Mistlands Tower,2006,Knights Kingdom II,6,210,0.028571
X-Large Gray Baseplate (Lt Bluish Gray),2003,Supplemental,0,1,0.000000
Advent Calendar 2011 Star Wars (Day 15) - Republic Gunship,2011,Star Wars,0,14,0.000000
Denken mit Lego (Thinking with Lego 900pcs),1972,Learning,0,6,0.000000
ROBOLAB Team Challenge Set Version 2.5 [USB],2003,Technic,0,165,0.000000
LEGO Pudsey Bear,2011,Other,1,42,0.023810
Stuntman Catapult,2001,Studios,0,22,0.000000
"Baseplates, Green",1972,Supplemental,0,1,0.000000
Polar Base,2000,Arctic,2,220,0.009091
Screaming Patriot,1991,Race,0,42,0.000000
BMW R 1200 GS Adventure,2017,Technic,1,112,0.008929
Vorox,2009,Glatorian,2,27,0.074074
Silver Wheels,1999,Technic,0,2,0.000000
Ultimate LEGO House Building Set,2006,Basic Set,0,127,0.000000
TECHNIC Beams {black},1987,Technic,0,2,0.000000
"LEGO Store Grand Opening Exclusive Set, Alderwood Mall, Lynnwood, WA",2012,LEGO Brand Store,0,8,0.000000
TRU Emmet's car,2014,The LEGO Movie,0,22,0.000000
"LEGO Store Grand Opening Exclusive Set, NorthPark Center, Dallas, TX",2009,LEGO Brand Store,0,20,0.000000
Rescue Robot,2011,Basic Model,0,71,0.000000
Emperor's Stronghold,1999,Ninja,2,107,0.018692
Battle Pack Dwarfs,2009,Fantasy Era,0,26,0.000000
Jet,2010,Basic Model,0,29,0.000000
Inika Toa Jaller,2006,Toa Inika,2,26,0.076923
Arctic Base Camp,2014,Arctic,1,295,0.003390
Treasure Hunt,2006,Duplo,1,9,0.111111
Large Tires and Wheels / TECHNIC Wheels with 43 mm + 24 mm Tyres,1989,Technic,0,3,0.000000
Tracks and Sprockets Pack,2008,Technic,0,2,0.000000
Monster Jumper,2009,Power Racers,1,45,0.022222
Small Cafe,1986,Fabuland,0,5,0.000000
Shipwrecked Pirate,1994,Pirates I,0,29,0.000000
Differential Gear Housing,1982,Technic,0,8,0.000000
"60024 Advent Calendar 2013, City (Day 19)",2013,City,0,9,0.000000
Yellow/Black Racer,2007,Tiny Turbos,0,16,0.000000
Republic Attack Shuttle,2009,Star Wars Clone Wars,0,172,0.000000
Vacation Getaways,2016,Creator,1,279,0.003584
Bricks,2010,Supplemental,0,104,0.000000
Single Disk Pack,2000,Throwbot Slizer,0,1,0.000000
TECHNIC Wheels with 43 mm + 24 mm tyres,1987,Technic,0,3,0.000000
Play with Letters,2011,Duplo,33,56,0.589286
7-Stud Axles (Pack of 50),2007,Technic,0,1,0.000000
Safari Building Set,2012,Creator,0,78,0.000000
Kellogg's Promotional Set: Duck,1998,Basic Model,0,11,0.000000
XT Starship,1986,Classic Space,0,86,0.000000
Fairytale and Historic Minifigures,2011,Educational and Dacta,0,148,0.000000
Shelob Attacks,2012,The Return of the King,3,99,0.030303
LEGO Interface,1986,Supplemental,3,4,0.750000
Boulder Cliff Canyon,1997,Indians,0,111,0.000000
Tormak's Shadow Blazer,2015,Legends of Chima,5,170,0.029412
Snowman,2014,Creator,0,29,0.000000
First Order Special Forces TIE Fighter Set,2015,Star Wars,0,19,0.000000
Mini VW T1 Camper Van,2013,Creator,1,35,0.028571
Hogwarts Castle (2nd edition),2004,Prisoner of Azkaban,3,248,0.012097
Mummy - Complete Set,2011,Series 3 Minifigures,0,5,0.000000
Mission Experience Pack,2000,Competition,1,116,0.008621
Axles - Long,1994,Technic,0,3,0.000000
Actor 1,2001,Studios,0,5,0.000000
Treasure Cart,1998,Fright Knights,0,21,0.000000
Infrared Seeker for Mindstorms NXT (Version 2),2011,NXT,1,1,1.000000
4-Stud Axles (Pack of 50),2002,Technic,0,1,0.000000
Barbarian - Complete Set,2013,Series 11 Minifigures,3,6,0.500000
Laser Ranger,1989,Futuron,0,26,0.000000
Fire Patrol Copter,1985,Fire,1,41,0.024390
The Shellraiser Street Chase V2.0,2013,Teenage Mutant Ninja Turtles,0,215,0.000000
Smuggler's Hayride,1989,Forestmen,0,34,0.000000
Snail,2015,Duplo,0,6,0.000000
Loader Tractor,1990,Construction,0,15,0.000000
Turquoise Brick Key Chain,2015,Key Chain,0,1,0.000000
Winter Village Bakery,2010,Christmas,2,225,0.008889
Batman Classic TV Series Batmobile,2014,Batman,0,68,0.000000
Assortment of Tires/Wheels,1992,Technic,0,6,0.000000
Advent Calendar 2004 Creator (Day 23) Tree,2004,Creator,0,9,0.000000
ADU Walker,2011,Alien Conquest,0,21,0.000000
Advent Calendar 2006 City (Day 12) Train Handcar,2006,City,0,10,0.000000
Decorated Elements,1991,Service Packs,0,19,0.000000
King,1999,Fairy-Tale,0,8,0.000000
Island Arcade,1993,Paradisa,1,80,0.012500
LEGO City Harbor,2007,Harbor,3,260,0.011538
Jay ZX,2012,Ninjago,5,22,0.227273
Police Motorcycle - Blue Sticker Version,2008,Police,1,23,0.043478
Iron Condor,2007,Exo-Force,2,65,0.030769
Swamp Craft,2000,RoboRiders,0,11,0.000000
Zaptor,2014,Series 1,0,27,0.000000
Town and Space Accessories,1987,Service Packs,0,21,0.000000
Crusader's Cart,1990,Forestmen,0,37,0.000000
Seaplane,2013,Coast Guard,0,34,0.000000
Musketeer - Complete Set,2011,Series 4 Minifigures,3,7,0.428571
Cool Cruiser,2011,Creator,0,158,0.000000
LaFerrari,2015,Speed Champions,2,83,0.024096
Mobile Fire Command Center,2012,Fire,0,198,0.000000
Beast Master's Chaos Chariot,2016,Nexo Knights,6,139,0.043165
Fire Rescue,1991,Boat,1,141,0.007092
Flying Warrior,2016,Series 15 Minifigures,4,9,0.444444
Basic Bricks,1987,Universal Building Set,0,7,0.000000
"Prisoner Transport, Black Logo",2005,Police,1,54,0.018519
"LEGO Store Grand Opening Exclusive Set, MyZeil, Frankfurt, Germany",2009,LEGO Brand Store,0,37,0.000000
Fire Boat,2007,Fire,0,15,0.000000
Monster Trucks,2013,Basic Set,1,116,0.008621
2 x 2 Plates - Trans-Clear (cardboard box version),1963,Supplemental,0,1,0.000000
Kelloggs Promotional Set: TECHNIC Motorcycle,1998,Riding Cycle,0,13,0.000000
Super Set 200,1998,Classic Basic,1,81,0.012346
Millennium Falcon,2016,Star Wars,0,25,0.000000
Horizon Express,2013,RC Train,4,253,0.015810
Magic Flash,1993,Model Team,3,245,0.012245
Locomotive,2002,My Own Train,0,65,0.000000
Advent Calendar 1998 Classic Basic (Day 19) Boat,1998,Classic Basic,0,9,0.000000
Easter Minifigure,2016,Easter,0,4,0.000000
Horse Vet Trailer,2016,Friends,3,181,0.016575
Rescue Helicopter,1987,Airport,1,20,0.050000
Daredevil Flight Squad,1998,Extreme Team,1,133,0.007519
Rescue Service Set,2010,Town,0,282,0.000000
Wheels and Axles Mini Set,1995,Technic,3,36,0.083333
"Grandfather Clock, Chair and Table",1973,Homemaker,0,16,0.000000
Basic Building Set with Train,1967,Basic Set,4,116,0.034483
Buildable Brick Box 2x2,2014,LEGO Brand Store,0,60,0.000000
Battle at the Black Gate,2013,The Return of the King,9,179,0.050279
Minifigure Collection 2013 Vol 1 of 3,2013,Collectible Minifigures,0,6,0.000000
The Orc Forge,2012,The Two Towers,2,129,0.015504
Ferrari 248 F1 1:24 (Alice version),2007,Ferrari,0,65,0.000000
Space Transport,1979,Classic Space,1,48,0.020833
Sir Danju,2005,Knights Kingdom II,5,19,0.263158
Sabah Promotional Set: Helicopter,1997,Basic Model,0,16,0.000000
Jasmine's Exotic Palace,2015,Disney Princess,5,83,0.060241
Lerahk,2003,Rahkshi,0,21,0.000000
LEGO® Friends Carry Case,2013,Gear,0,9,0.000000
Toa Mahri Jaller,2007,Toa Mahri,1,29,0.034483
Piggy Coin Bank,2015,Other,0,41,0.000000
2 x 4 Plates - White (architectural hobby und modelbau version),1962,Architecture,0,3,0.000000
Mr. Incredible,2016,Disney,5,6,0.833333
9-Volt Long Connecting Leads,1996,Technic,0,1,0.000000
Intergalactic Girl - Complete Set,2012,Series 6 Minifigures,3,9,0.333333
Jango Fett's Slave I,2002,Star Wars Episode 2,9,146,0.061644
"1 x 1 x 1 Window, Red or White",1966,Supplemental,0,2,0.000000
Pirate Treasure,1994,Pirates I,0,36,0.000000
Handy Camera,2001,Studios,0,7,0.000000
Peter Panda Takes a Bath,1983,Fabuland,1,3,0.333333
Freestyle with Storage Case,1996,Freestyle,0,126,0.000000
LEGO® Star Wars™ Darth Vader™ Magnet,2013,Gear,0,2,0.000000
The Wither,2016,Minecraft,4,126,0.031746
Velma Staplebot,2014,The LEGO Movie Series,5,6,0.833333
Coast Guard Quad Bike,2008,Coast Guard,0,22,0.000000
BAU MIT!,2009,Other,0,1,0.000000
Gray Pulley Wheel (Pack of 50),2008,Technic,0,1,0.000000
Special Elements for Amusement Park Set,2002,Service Packs,0,35,0.000000
Advent Calendar 2008 Castle (Day 22) - Catapult,2008,Castle,0,9,0.000000
Air Police,2002,Police,0,14,0.000000
Hafu and Macku Twin Pack with Gold Avohkii,2003,Matoran of Mata Nui,0,1,0.000000
Rapid River Village,1997,Indians,0,137,0.000000
Alien Conquest Battle Pack,2011,Alien Conquest,1,20,0.050000
Toa Hordika Nokama,2005,Toa Hordika,2,27,0.074074
Maze,2016,LEGO Ideas and CUUSOO,0,145,0.000000
Knights' Catapult Defense,2007,Fantasy Era,0,65,0.000000
Advent Calendar 2005 City (Day  5) Police Dog & Barricade,2005,City,0,8,0.000000
"1 x 4 x 2 Window, Red or White",1966,Supplemental,0,2,0.000000
Advent Calendar 2008 Castle (Day 13) - Tools Storage with Frog,2008,Castle,0,4,0.000000
Crawler Crane,2006,Construction,1,86,0.011628
Spot Light,2001,Studios,0,8,0.000000
Rubber Rims for Locomotive Wheels,1977,Train,0,1,0.000000
52 flat tile bricks,1969,Supplemental,0,18,0.000000
Droid Gunship,2014,Star Wars,1,153,0.006536
X-wing Starfighter,2012,Star Wars Episode 4/5/6,3,160,0.018750
Police Dinghy,2010,Police,0,15,0.000000
Battle Station,2016,Nexo Knights,0,7,0.000000
2 x 8 Dark Green Bricks,2000,Bulk Bricks,0,1,0.000000
Robo Attack,2009,Agents,4,182,0.021978
The LEGO Movie Accessory Pack,2014,The LEGO Movie,0,21,0.000000
Police Units,1979,Police,0,27,0.000000
Coca-Cola Bottle Case,2002,Soccer,0,2,0.000000
Advent Calendar 1998 Classic Basic (Day 11) Boat,1998,Classic Basic,0,7,0.000000
Benedikt Höwedes (4),2016,DFB Minifigures,2,6,0.333333
Ghostly Hideout,1993,Wolfpack,0,32,0.000000
Helicopter and Pilot,1975,Building Set with People,0,23,0.000000
Road Rescue,1998,Res-Q,0,32,0.000000
Maverick Sprinter & Hot Arrow,2002,Drome Racers,3,44,0.068182
Mia's Magic Tricks,2013,Friends,2,55,0.036364
Creative Picnic,2014,Duplo,3,34,0.088235
Hovercraft Arrest,2015,Police,0,147,0.000000
Le Fleuriste Collector Vase - Rapid Flore Pop Color,2010,Other,0,51,0.000000
Snowmobile,2014,Technic,1,50,0.020000
Wire for 9V (9cm),1988,Technic,0,1,0.000000
Hydro Crystalization Station,1998,Hydronauts,1,160,0.006250
ZX Turbo,2008,Tiny Turbos,1,28,0.035714
T- and Intersection Plates,1986,Service Packs,0,2,0.000000
Spinosaurus Attack Studio,2001,Jurassic Park III,6,103,0.058252
Robbers' Hideout,2012,Police,3,159,0.018868
Basketball,2003,Basketball,0,20,0.000000
Spugg,2015,Series 5,0,29,0.000000
My First Circus,2013,Duplo,4,37,0.108108
Boxer - Complete Set,2011,Series 5 Minifigures,3,5,0.600000
Roman Emperor - Complete Set,2013,Series 9 Minifigures,5,6,0.833333
Soccer Goalies,1998,Soccer,2,6,0.333333
Republic Cruiser (Limited Edition - with R2-R7),2007,Star Wars Episode 1,3,202,0.014851
Wheels (Tires hubs axle plates and bricks),2002,Service Packs,0,7,0.000000
Wall Unit,1974,Homemaker,0,24,0.000000
Banana Balance,2011,Game,0,16,0.000000
Brick Separators,1995,Technic,0,1,0.000000
Air Canada Jet Plane,1988,Airport,6,39,0.153846
Boat,1999,Classic Basic,2,16,0.125000
Pre-School Medium Set,1968,Jumbo Bricks,0,4,0.000000
A.I.R. Operations HQ,2002,Airport,12,89,0.134831
Ehrye,2004,Matoran of Metru Nui,1,13,0.076923
Ilrion,2012,Game,4,101,0.039604
Spidermonkey,2010,Ben 10,1,8,0.125000
Tuneable Racer,2003,Drome Racers,4,60,0.066667
March Harriet™,2017,Batman,4,6,0.666667
Airport Security Squad,1991,Airport,0,87,0.000000
Vahki Zadakh Limited Edition with Movie Edition Vahi and Disk Of Time,2004,Vahki,0,20,0.000000
Renegade's Raft,1991,Pirates I,0,22,0.000000
Porsche 918 Spyder,2015,Speed Champions,2,75,0.026667
Treasure Island,2015,Pirates III,1,126,0.007937
NRG Jay,2012,Ninjago,11,19,0.578947
Duplo Farm Polybag (cat),2014,Duplo,0,5,0.000000
2 x 4 Plates - Light Gray (architectural hobby und modelbau version),1962,Architecture,0,3,0.000000
Ghostbusters Story Pack,2016,Dimensions,3,125,0.024000
Monsters Army-Building Set,2016,Nexo Knights,0,20,0.000000
Light Hover,2000,Rock Raiders,0,16,0.000000
Idea Book 8888,1980,Technic,1,1,1.000000
Blue Renegade,2006,Tiny Turbos,0,25,0.000000
Dragsters,1993,Race,0,49,0.000000
Holiday Train,2006,9V,0,222,0.000000
Fire Crusher,2007,Power Racers,0,39,0.000000
Stock Car,1986,Race,1,26,0.038462
Coastal Cop Buggy / Miami Police Patrol,1996,Technic,1,68,0.014706
Advent Calendar 2010 Kingdoms (Day 15) - Jousting Dummy with Helmet and Halberd,2010,Castle,0,9,0.000000
Technology Resource Set,2003,Technic,0,105,0.000000
Freestyle Building Set,1995,Freestyle,0,231,0.000000
Combine Harvester,2009,Farm,0,132,0.000000
Castle Cavalry,2014,The LEGO Movie,1,134,0.007463
Rainforest Animals,2015,Creature,0,77,0.000000
Red Recon Flyer,2002,Airport,0,18,0.000000
ROCKA Crawler,2014,Heroes,0,36,0.000000
Rally Sprinter,2009,Tiny Turbos,0,29,0.000000
EZ-Roadster,2008,Tiny Turbos,0,23,0.000000
Motorized Universal Building Set,1990,Universal Building Set,0,67,0.000000
The Eraser™,2017,Batman,4,6,0.666667
Family,1974,Building Set with People,0,34,0.000000
Race Car,2012,Traffic,0,24,0.000000
Drummer Gabriel Monkey,1984,Fabuland,3,6,0.500000
The Mermaid Castle,2005,Fairy-Tale,8,111,0.072072
Hoth Rebel Base [Limited Edition - with K-3PO],2007,Star Wars Episode 4/5/6,1,170,0.005882
R2-D2,2012,Ultimate Collector Series,0,300,0.000000
Monthly Mini Model Build June 2012 - Lawnmower,2012,Monthly Mini Model Build,0,13,0.000000
